Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
465,90,True,3,3,1,1,False,False
466,90,True,10,3,9,2,True,False
467,91,True,19,2,11,6,False,False
468,91,True,6,2,5,1,False,False
469,91,True,8,3,2,4,False,False
470,91,True,17,3,20,4,False,False
471,91,True,15,2,13,3,False,False
472,91,True,24,4,7,1,False,False
473,92,True,1,2,19,0,False,False
474,92,True,4,1,23,3,False,False
475,92,True,10,2,3,1,False,False
476,92,True,9,3,12,2,False,False
477,92,True,18,3,14,2,False,False
478,93,True,2,4,8,3,False,False
479,93,True,7,3,6,7,False,False
480,93,True,24,3,10,1,False,False
481,93,True,11,0,17,3,False,False
482,94,True,13,3,22,2,True,False
483,94,True,18,7,15,3,False,False
484,94,True,14,3,16,0,False,False
485,94,True,1,2,21,3,True,False
486,94,True,20,4,24,5,True,False
487,94,True,5,2,4,1,False,False
488,95,True,23,3,11,0,False,False
489,95,True,2,2,9,3,False,False
490,95,True,3,4,19,3,False,False
491,95,True,17,4,18,3,False,False
492,95,True,8,1,5,2,True,True
493,95,True,6,2,1,1,True,False
494,96,True,4,3,20,2,False,False
495,96,True,16,2,7,3,False,False
496,96,True,10,5,13,1,False,False
497,96,True,22,2,12,6,False,False
498,96,True,21,1,2,3,False,False
499,97,True,24,4,23,1,False,False
500,97,True,6,3,3,4,False,False
501,97,True,9,1,8,2,False,False
502,97,True,7,5,14,2,False,False
503,97,True,15,4,10,1,False,False
504,97,True,19,1,17,4,False,False
505,98,True,13,4,6,1,False,False
506,98,True,12,4,22,2,False,False
507,98,True,4,1,16,2,False,False
508,98,True,11,4,21,2,False,False
509,98,True,5,1,15,3,False,False
510,98,True,9,1,24,3,False,False
511,99,True,14,1,18,6,False,False
512,99,True,19,2,1,3,True,True
513,99,True,2,4,20,1,False,False
514,99,True,17,1,4,3,False,False
515,99,True,3,2,5,3,True,True
516,100,True,10,6,11,2,False,False
517,100,True,8,2,23,3,True,False
518,100,True,21,2,9,1,True,False
519,100,True,16,5,19,3,False,False
520,100,True,12,1,13,2,True,True
521,101,True,22,2,2,4,False,False
522,101,True,14,2,7,7,False,False
523,101,True,24,1,3,2,True,True
524,101,True,20,5,8,6,True,False
525,102,True,23,2,12,4,False,False
526,102,True,4,5,10,2,False,False
527,102,True,21,2,6,3,False,False
